"X","Y","Z","TimeStep1 - u","TimeStep1 - v"
-2.284000000000503,0.1840000000005028,0.0,-5.1344100734635905e-05,-5.5239914755702925e-05
-2.256000000000393,0.1560000000003929,0.0,-5.256169941957675e-05,-5.7050360120955786e-05
-2.228000000000197,0.1280000000001965,0.0,-5.371272055911691e-05,-5.8854867512989974e-05
-2.238888888888745,0.1,0.0,-5.3736187364286245e-05,-5.8438067277702166e-05
-2.277777777777624,0.1,0.0,-5.3118660261890154e-05,-5.6016300253167314e-05
-2.316666666666089,0.1,0.0,-5.2494868977839246e-05,-5.339404497918928e-05
-2.355555555554891,0.1,0.0,-5.195110450900128e-05,-5.059598660940718e-05
-2.394444444443712,0.1,0.0,-5.139876324076218e-05,-4.7629447988082355e-05
-2.433333333332408,0.1,0.0,-5.091597540700378e-05,-4.453378050228378e-05
-2.472222222221316,0.1,0.0,-5.04362660210202e-05,-4.1321107578358906e-05
-2.511111111109974,0.1,0.0,-5.0015468023779076e-05,-3.80309211548273e-05
-2.549999999998872,0.1,0.0,-4.961508431840811e-05,-3.468014310440859e-05
-2.588888888887944,0.1,0.0,-4.9259113136437695e-05,-3.1306833420320524e-05
-2.627777777776882,0.1,0.0,-4.8942156675959505e-05,-2.792672696104814e-05
-2.666666666666233,0.1,0.0,-4.865715334190128e-05,-2.4588690952898794e-05
-2.705555555555459,0.1,0.0,-4.842729534670988e-05,-2.1304185260433982e-05
-2.744444444444627,0.1,0.0,-4.8217021455764495e-05,-1.812566634008391e-05
-2.783333333333709,0.1,0.0,-4.808035263358942e-05,-1.5065081592297101e-05
-2.822222222222377,0.1,0.0,-4.794965543655311e-05,-1.2171286995641242e-05
-2.861111111111255,0.1,0.0,-4.7935260122470494e-05,-9.478852618614208e-06
-2.77200000000007,0.8720000000000698,0.0,-1.9602783737481218e-05,-2.2579353685886468e-05
-2.74400000000014,0.8440000000001396,0.0,-2.076725879567416e-05,-2.4463752968612302e-05
