"X","Y","Z","TimeStep1 - temperature","TimeStep2 - temperature","TimeStep3 - temperature","TimeStep4 - temperature","TimeStep5 - temperature","TimeStep6 - temperature","TimeStep7 - temperature","TimeStep8 - temperature","TimeStep9 - temperature","TimeStep10 - temperature","TimeStep11 - temperature","TimeStep12 - temperature","TimeStep13 - temperature","TimeStep14 - temperature","TimeStep15 - temperature","TimeStep16 - temperature","TimeStep17 - temperature"
0.0,0.2499999999999993,1.0,300.0000000000001,299.9999999999994,299.99999999999983,300.00000000000017,300.0000000000002,299.99999999999983,300.00000000000006,300.0,300.0000000000003,300.0000000000001,299.9999999999998,299.99999999999994,299.9999999999998,299.99999999999983,299.9999999999999,299.9999999999999,299.99999999999994
0.0,0.3333333333333324,1.0,299.999999999988,299.9999999999841,299.99999999999534,299.9999999999917,299.9999999999936,300.00000000000273,299.99999999999073,300.00000000001506,299.99999999998886,300.0000000000004,300.00000000001245,299.99999999999625,299.9999999999985,299.99999999999284,300.0000000000005,299.9999999999951,300.0000000000084
0.0,0.4166666666666654,1.0,300.00000000000125,300.000000000003,300.00000000000483,300.0000000000094,300.00000000000125,300.00000000000057,300.0000000000099,299.9999999999907,300.0000000000059,300.0000000000033,300.0000000000005,299.99999999999994,300.0000000000085,300.000000000005,299.9999999999995,300.00000000000307,299.9999999999971
0.0,0.4999999999999986,1.0,300.00000000000233,299.9999999999996,300.0000000000026,300.00000000000233,300.0000000000025,300.0000000000014,300.00000000000193,300.0000000000021,300.00000000000136,300.00000000000045,300.000000000002,300.00000000000045,300.0000000000026,300.0000000000024,300.0000000000006,300.000000000002,300.00000000000114
0.0,0.5833333333333316,1.0,299.99999999999056,299.9999999999897,299.99999999998647,300.00000000000375,299.999999999993,299.99999999998755,299.99999999999596,299.9999999999849,299.99999999999756,299.99999999999824,299.99999999999545,299.9999999999903,299.99999999999835,299.9999999999904,299.99999999999164,300.0000000000022,299.9999999999949
0.0,0.6666666666666646,1.0,299.99999999999835,299.9999999999993,299.9999999999993,300.0000000000004,299.9999999999988,299.99999999999915,299.99999999999966,300.0000000000003,299.9999999999994,299.9999999999992,299.9999999999994,299.9999999999994,299.99999999999835,300.0000000000011,300.00000000000006,299.9999999999992,299.9999999999991
0.0,0.7499999999999983,1.0,299.9999999999976,299.99999999999886,300.0000000000005,299.9999999999991,299.99999999999915,300.0000000000022,299.99999999999875,299.99999999999835,299.99999999999795,299.99999999999926,300.0000000000002,299.99999999999835,299.99999999999835,300.00000000000085,300.00000000000205,299.99999999999926,300.00000000000057
0.0,0.8333333333333321,1.0,299.9999999999995,300.00000000000614,300.00000000000534,300.0000000000039,300.0000000000044,300.00000000001336,299.9999999999972,300.00000000000364,300.0000000000114,300.0000000000048,300.00000000001154,300.0000000000022,300.0000000000016,300.0000000000042,300.00000000000597,300.0000000000046,300.00000000000347
0.0,0.9166666666666662,1.0,299.9999999999936,299.9999999999864,299.99999999998926,299.9999999999942,299.9999999999922,299.99999999999665,299.99999999999625,299.99999999999926,299.9999999999855,299.99999999998397,299.9999999999813,299.99999999999307,299.99999999998664,299.9999999999813,299.99999999999216,299.99999999998613,299.9999999999893
0.0,1.0,0.08333333333333316,299.999999999975,300.00000000000074,299.99999999998886,299.9999999999837,299.99999999998596,299.99999999999375,300.00000000000506,300.0000000000186,299.9999999999998,299.99999999999994,300.00000000000983,300.00000000000483,300.00000000000307,300.0000000000196,300.00000000000085,300.00000000000597,300.00000000000824
