Element,Facet,X1,Y1,X2,Y2,time_step_0 - q''x,time_step_0 - q''y,time_step_0 - q'',time_step_1 - q''x,time_step_1 - q''y,time_step_1 - q''
20,0,0.3333333333333333,0.06666666666666668,0.4,0.06666666666666668,100000000000000.0,0.16653345369377345,100000000000000.0,100000000000000.0,0.16653345369377345,100000000000000.0
20,1,0.4,0.06666666666666668,0.4,0.13333333333333333,0.0,0.125,0.125,0.0,0.125,0.125
20,2,0.4,0.13333333333333333,0.3333333333333333,0.13333333333333333,99999999999999.8,-0.1665334536937732,99999999999999.8,99999999999999.81,-0.1665334536937732,99999999999999.81
20,3,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.06666666666666668,-0.0,0.25,0.25,-0.0,0.25,0.25
21,0,0.4,0.06666666666666668,0.4666666666666667,0.06666666666666668,99999999999999.62,-0.0,99999999999999.62,99999999999999.62,-0.0,99999999999999.62
21,1,0.4666666666666667,0.06666666666666668,0.4666666666666667,0.13333333333333333,0.0,0.25,0.25,0.0,0.25,0.25
21,2,0.4666666666666667,0.13333333333333333,0.4,0.13333333333333333,99999999999999.62,0.0,99999999999999.62,99999999999999.62,0.0,99999999999999.62
21,3,0.4,0.13333333333333333,0.4,0.06666666666666668,-0.0,0.0625,0.0625,-0.0,0.0625,0.0625
22,0,0.4666666666666667,0.06666666666666668,0.5333333333333333,0.06666666666666668,100000000000000.06,-0.0,100000000000000.06,100000000000000.06,-0.0,100000000000000.06
22,1,0.5333333333333333,0.06666666666666668,0.5333333333333333,0.13333333333333333,-0.0,-0.0625,0.0625,-0.0,-0.0625,0.0625
22,2,0.5333333333333333,0.13333333333333333,0.4666666666666667,0.13333333333333333,100000000000000.0,0.0,100000000000000.0,100000000000000.0,0.0,100000000000000.0
22,3,0.4666666666666667,0.13333333333333333,0.4666666666666667,0.06666666666666668,-0.0,0.0625,0.0625,-0.0,0.0625,0.0625
23,0,0.5333333333333333,0.06666666666666668,0.6,0.06666666666666668,100000000000000.38,-0.0,100000000000000.38,100000000000000.38,-0.0,100000000000000.38
23,1,0.6,0.06666666666666668,0.6,0.13333333333333333,-0.0,-0.03125,0.03125,-0.0,-0.03125,0.03125
23,2,0.6,0.13333333333333333,0.5333333333333333,0.13333333333333333,100000000000000.2,0.0,100000000000000.2,100000000000000.19,0.0,100000000000000.19
23,3,0.5333333333333333,0.13333333333333333,0.5333333333333333,0.06666666666666668,0.0,-0.0,0.0,0.0,-0.0,0.0
24,0,0.6,0.06666666666666668,0.6666666666666666,0.06666666666666668,99999999999999.88,-0.0,99999999999999.88,99999999999999.88,-0.0,99999999999999.88
24,1,0.6666666666666666,0.06666666666666668,0.6666666666666666,0.13333333333333333,-0.0,-0.0625,0.0625,-0.0,-0.0625,0.0625
24,2,0.6666666666666666,0.13333333333333333,0.6,0.13333333333333333,99999999999999.88,0.0,99999999999999.88,99999999999999.88,0.0,99999999999999.88
24,3,0.6,0.13333333333333333,0.6,0.06666666666666668,0.0,-0.0625,0.0625,0.0,-0.0625,0.0625
25,0,0.6666666666666666,0.06666666666666668,0.7333333333333333,0.06666666666666668,100000000000000.22,-0.0,100000000000000.22,100000000000000.22,-0.0,100000000000000.22
25,1,0.7333333333333333,0.06666666666666668,0.7333333333333333,0.13333333333333333,-0.0,-0.25,0.25,-0.0,-0.25,0.25
25,2,0.7333333333333333,0.13333333333333333,0.6666666666666666,0.13333333333333333,100000000000000.05,0.0,100000000000000.05,100000000000000.03,0.0,100000000000000.03
25,3,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.06666666666666668,0.0,-0.0625,0.0625,0.0,-0.0625,0.0625
26,0,0.7333333333333333,0.06666666666666668,0.8,0.06666666666666668,99999999999999.95,-0.0,99999999999999.95,99999999999999.97,-0.0,99999999999999.97
26,1,0.8,0.06666666666666668,0.8,0.13333333333333333,-0.0,-0.1875,0.1875,-0.0,-0.1875,0.1875
26,2,0.8,0.13333333333333333,0.7333333333333333,0.13333333333333333,100000000000000.2,0.0,100000000000000.2,100000000000000.19,0.0,100000000000000.19
