Element,Facet,X1,Y1,X2,Y2,time_step_0 - q''x,time_step_0 - q''y,time_step_0 - q'',time_step_1 - q''x,time_step_1 - q''y,time_step_1 - q'',time_step_2 - q''x,time_step_2 - q''y,time_step_2 - q'',time_step_3 - q''x,time_step_3 - q''y,time_step_3 - q'',time_step_4 - q''x,time_step_4 - q''y,time_step_4 - q''
2,2,0.2,0.06666666666666668,0.13333333333333333,0.06666666666666668,99.62592630522616,-3.1086244689504383e-12,99.62592630522616,99.99852410611055,-3.05311331771918e-12,99.99852410611055,99.99999405722271,-2.8310687127941488e-12,99.99999405722271,99.99999997600572,-3.5527136788005017e-12,99.99999997600572,99.99999999990867,-2.609024107869118e-12,99.99999999990867
2,3,0.13333333333333333,0.06666666666666668,0.13333333333333333,0.0,99.62592630522649,-2.886579864025406e-12,99.62592630522649,99.99852410611076,-2.720046410331633e-12,99.99852410611076,99.99999405722299,-2.6090241078691183e-12,99.99999405722299,99.99999997600584,-3.4416913763379853e-12,99.99999997600584,99.99999999990911,-2.220446049250313e-12,99.99999999990911
3,0,0.2,0.0,0.26666666666666666,0.0,99.59495909582728,-4.496403249731884e-12,99.59495909582728,99.99838079412004,-4.329869796038111e-12,99.99838079412004,99.99999346988972,-3.9412917374193065e-12,99.99999346988972,99.99999997362984,-4.385380947269368e-12,99.99999997362984,99.9999999999004,-4.385380947269368e-12,99.9999999999004
3,1,0.26666666666666666,0.0,0.26666666666666666,0.06666666666666668,99.59495909582688,-4.829470157119432e-12,99.59495909582688,99.99838079411964,-4.718447854656915e-12,99.99838079411964,99.9999934698895,-4.218847493575595e-12,99.9999934698895,99.99999997362957,-4.829470157119432e-12,99.99999997362957,99.99999999989988,-4.829470157119431e-12,99.99999999989988
3,2,0.26666666666666666,0.06666666666666668,0.2,0.06666666666666668,99.59495909582657,-4.496403249731884e-12,99.59495909582657,99.99838079411929,-4.329869796038111e-12,99.99838079411929,99.99999346988936,-3.9412917374193065e-12,99.99999346988936,99.9999999736294,-4.385380947269368e-12,99.9999999736294,99.9999999998995,-4.385380947269368e-12,99.9999999998995
3,3,0.2,0.06666666666666668,0.2,0.0,99.59495909582688,-4.052314039881821e-12,99.59495909582688,99.99838079411964,-4.052314039881821e-12,99.99838079411964,99.9999934698895,-3.5527136788005017e-12,99.9999934698895,99.99999997362957,-4.107825191113078e-12,99.99999997362957,99.99999999989988,-3.885780586188048e-12,99.99999999989988
4,0,0.26666666666666666,0.0,0.3333333333333333,0.0,99.5684183290551,-6.3005156647477626e-12,99.5684183290551,99.9982554119839,-6.3005156647477626e-12,99.9982554119839,99.99999295423201,-5.8841820305133305e-12,99.99999295423201,99.99999997154418,-6.13398221105399e-12,99.99999997154418,99.99999999989345,-6.2450045135165055e-12,99.99999999989345
4,1,0.3333333333333333,0.0,0.3333333333333333,0.06666666666666668,99.56841832905458,-6.966649479522857e-12,99.56841832905458,99.99825541198335,-6.994405055138486e-12,99.99825541198335,99.99999295423132,-6.6890937233665665e-12,99.99999295423132,99.99999997154369,-6.8833827526759706e-12,99.99999997154369,99.99999999989298,-6.855627177060342e-12,99.99999999989298
4,2,0.3333333333333333,0.06666666666666668,0.26666666666666666,0.06666666666666668,99.56841832905405,-6.3005156647477626e-12,99.56841832905405,99.99825541198277,-6.3005156647477626e-12,99.99825541198277,99.99999295423063,-5.8841820305133305e-12,99.99999295423063,99.9999999715431,-6.13398221105399e-12,99.9999999715431,99.99999999989254,-6.2450045135165055e-12,99.99999999989254
4,3,0.26666666666666666,0.06666666666666668,0.26666666666666666,0.0,99.56841832905458,-5.773159728050812e-12,99.56841832905458,99.99825541198335,-5.6621374255882975e-12,99.99825541198335,99.99999295423132,-5.2180482157382365e-12,99.99999295423132,99.99999997154369,-5.5511151231257835e-12,99.99999997154369,99.99999999989298,-5.828670879282072e-12,99.99999999989298
5,0,0.3333333333333333,0.0,0.4,0.0,99.70114575397848,-1.7763568394002505e-12,99.70114575397848,99.99885884379084,-1.1102230246251565e-12,99.99885884379084,99.99999542080593,-1.9984014443252814e-12,99.99999542080593,99.99999998151763,-1.6653345369377348e-12,99.99999998151763,99.99999999992998,-1.8318679906315083e-12,99.99999999992998
5,1,0.4,0.0,0.4,0.06666666666666668,99.70114575397815,-1.8873791418627657e-12,99.70114575397815,99.9988588437904,-1.4432899320127037e-12,99.9988588437904,99.9999954208058,-2.1094237467877966e-12,99.9999954208058,99.9999999815172,-1.9984014443252814e-12,99.9999999815172,99.99999999992964,-1.8318679906315083e-12,99.99999999992964
5,2,0.4,0.06666666666666668,0.3333333333333333,0.06666666666666668,99.70114575397793,-1.7763568394002505e-12,99.70114575397793,99.9988588437898,-1.1102230246251565e-12,99.9988588437898,99.99999542080565,-1.9984014443252814e-12,99.99999542080565,99.99999998151665,-1.6653345369377348e-12,99.99999998151665,99.99999999992937,-1.8318679906315083e-12,99.99999999992937
5,3,0.3333333333333333,0.06666666666666668,0.3333333333333333,0.0,99.70114575397815,-1.5543122344752192e-12,99.70114575397815,99.9988588437904,-6.661338147750937e-13,99.9988588437904,99.9999954208058,-1.7763568394002505e-12,99.9999954208058,99.9999999815172,-1.2212453270876722e-12,99.9999999815172,99.99999999992964,-1.4432899320127035e-12,99.99999999992964
6,0,0.4,0.0,0.4666666666666667,0.0,99.6613213335722,-2.4980018054066026e-12,99.6613213335722,99.99868397800226,-2.3314683517128287e-12,99.99868397800226,99.99999470988656,-2.4424906541753444e-12,99.99999470988656,99.99999997864415,-2.4424906541753444e-12,99.99999997864415,99.99999999991849,-2.55351295663786e-12,99.99999999991849
6,1,0.4666666666666667,0.0,0.4666666666666667,0.06666666666666668,99.66132133357193,-2.664535259100376e-12,99.66132133357193,99.99868397800194,-2.6090241078691183e-12,99.99868397800194,99.9999947098864,-2.6090241078691183e-12,99.9999947098864,99.99999997864415,-2.3314683517128287e-12,99.99999997864415,99.99999999991816,-2.7755575615628914e-12,99.99999999991816
6,2,0.4666666666666667,0.06666666666666668,0.4,0.06666666666666668,99.66132133357159,-2.4980018054066026e-12,99.66132133357159,99.9986839780016,-2.3314683517128287e-12,99.9986839780016,99.99999470988622,-2.4424906541753444e-12,99.99999470988622,99.99999997864413,-2.4424906541753444e-12,99.99999997864413,99.99999999991805,-2.55351295663786e-12,99.99999999991805
6,3,0.4,0.06666666666666668,0.4,0.0,99.66132133357193,-2.3314683517128287e-12,99.66132133357193,99.99868397800194,-2.220446049250313e-12,99.99868397800194,99.9999947098864,-2.3314683517128287e-12,99.9999947098864,99.99999997864415,-2.55351295663786e-12,99.99999997864415,99.99999999991816,-2.4424906541753444e-12,99.99999999991816
7,0,0.4666666666666667,0.0,0.5333333333333333,0.0,99.6259263052256,-3.1086244689504383e-12,99.6259263052256,99.99852410610998,-3.2751579226442118e-12,99.99852410610998,99.99999405722198,-2.9420910152566652e-12,99.99999405722198,99.99999997600516,-2.997602166487923e-12,99.99999997600516,99.99999999990794,-3.3306690738754696e-12,99.99999999990794
7,1,0.5333333333333333,0.0,0.5333333333333333,0.06666666666666668,99.62592630522538,-3.3861802251067274e-12,99.62592630522538,99.9985241061096,-3.6637359812630166e-12,99.9985241061096,99.99999405722187,-3.2196467714129536e-12,99.99999405722187,99.99999997600484,-3.4416913763379853e-12,99.99999997600484,99.99999999990771,-3.552713678800501e-12,99.99999999990771
7,2,0.5333333333333333,0.06666666666666668,0.4666666666666667,0.06666666666666668,99.6259263052252,-3.1086244689504383e-12,99.6259263052252,99.99852410610936,-3.2751579226442118e-12,99.99852410610936,99.99999405722171,-2.9420910152566652e-12,99.99999405722171,99.9999999760045,-2.997602166487923e-12,99.9999999760045,99.9999999999075,-3.3306690738754696e-12,99.9999999999075
7,3,0.4666666666666667,0.06666666666666668,0.4666666666666667,0.0,99.62592630522538,-3.05311331771918e-12,99.62592630522538,99.9985241061096,-3.1086244689504383e-12,99.9985241061096,99.99999405722187,-2.775557561562892e-12,99.99999405722187,99.99999997600484,-2.6090241078691183e-12,99.99999997600484,99.99999999990771,-3.1086244689504383e-12,99.99999999990771
8,0,0.5333333333333333,0.0,0.6,0.0,99.59495909582584,-4.496403249731884e-12,99.59495909582584,99.99838079411848,-4.884981308350689e-12,99.99838079411848,99.99999346988851,-4.440892098500626e-12,99.99999346988851,99.99999997362885,-4.329869796038111e-12,99.99999997362885,99.99999999989872,-4.6629367034256575e-12,99.99999999989872
8,1,0.6,0.0,0.6,0.06666666666666668,99.59495909582522,-5.10702591327572e-12,99.59495909582522,99.99838079411795,-5.606626274357041e-12,99.99838079411795,99.99999346988797,-5.051514762044462e-12,99.99999346988797,99.9999999736284,-4.773959005888173e-12,99.9999999736284,99.99999999989817,-5.218048215738236e-12,99.99999999989817
8,2,0.6,0.06666666666666668,0.5333333333333333,0.06666666666666668,99.59495909582456,-4.496403249731884e-12,99.59495909582456,99.99838079411717,-4.884981308350689e-12,99.99838079411717,99.9999934698873,-4.440892098500626e-12,99.9999934698873,99.99999997362808,-4.329869796038111e-12,99.99999997362808,99.99999999989755,-4.6629367034256575e-12,99.99999999989755
8,3,0.5333333333333333,0.06666666666666668,0.5333333333333333,0.0,99.59495909582522,-3.9412917374193065e-12,99.59495909582522,99.99838079411795,-4.385380947269368e-12,99.99838079411795,99.99999346988797,-3.83026943495679e-12,99.99999346988797,99.9999999736284,-4.107825191113078e-12,99.9999999736284,99.99999999989817,-4.163336342344337e-12,99.99999999989817
9,0,0.6,0.0,0.6666666666666666,0.0,99.56841832905278,-6.772360450213455e-12,99.56841832905278,99.99825541198156,-6.966649479522857e-12,99.99825541198156,99.99999295422904,-7.049916206369744e-12,99.99999295422904,99.99999997154151,-6.661338147750938e-12,99.99999997154151,99.99999999989112,-7.049916206369744e-12,99.99999999989112
9,1,0.6666666666666666,0.0,0.6666666666666666,0.06666666666666668,99.56841832905216,-7.494005416219808e-12,99.56841832905216,99.99825541198106,-7.494005416219808e-12,99.99825541198106,99.99999295422836,-7.854827899222983e-12,99.99999295422836,99.99999997154076,-7.577272143066692e-12,99.99999997154076,99.99999999989045,-7.882583474838611e-12,99.99999999989045
9,2,0.6666666666666666,0.06666666666666668,0.6,0.06666666666666668,99.56841832905151,-6.772360450213455e-12,99.56841832905151,99.9982554119806,-6.966649479522857e-12,99.9982554119806,99.99999295422754,-7.049916206369744e-12,99.99999295422754,99.99999997153989,-6.661338147750938e-12,99.99999997153989,99.99999999988977,-7.049916206369744e-12,99.99999999988977
9,3,0.6,0.06666666666666668,0.6,0.0,99.56841832905216,-6.106226635438361e-12,99.56841832905216,99.99825541198106,-6.5503158452884236e-12,99.99825541198106,99.99999295422836,-6.217248937900878e-12,99.99999295422836,99.99999997154076,-5.773159728050813e-12,99.99999997154076,99.99999999989045,-6.38378239159465e-12,99.99999999989045
10,0,0.6666666666666666,0.0,0.7333333333333333,0.0,99.70114575397758,-1.0547118733938987e-12,99.70114575397758,99.9988588437895,-1.7763568394002505e-12,99.9988588437895,99.99999542080539,-1.1657341758564144e-12,99.99999542080539,99.99999998151621,-1.1657341758564144e-12,99.99999998151621,99.99999999992892,-9.992007221626409e-13,99.99999999992892
10,1,0.7333333333333333,0.0,0.7333333333333333,0.06666666666666668,99.70114575397754,-1.1102230246251565e-12,99.70114575397754,99.9988588437898,-1.5543122344752192e-12,99.9988588437898,99.99999542080549,-1.1102230246251565e-12,99.99999542080549,99.99999998151637,-9.436895709313829e-13,99.99999998151637,99.99999999992865,-1.27675647831893e-12,99.99999999992865
10,2,0.7333333333333333,0.06666666666666668,0.6666666666666666,0.06666666666666668,99.70114575397758,-1.0547118733938987e-12,99.70114575397758,99.99885884378985,-1.7763568394002505e-12,99.99885884378985,99.99999542080565,-1.1657341758564144e-12,99.99999542080565,99.99999998151631,-1.1657341758564144e-12,99.99999998151631,99.99999999992842,-9.992007221626409e-13,99.99999999992842
10,3,0.6666666666666666,0.06666666666666668,0.6666666666666666,0.0,99.70114575397754,-8.881784197001252e-13,99.70114575397754,99.9988588437898,-1.8873791418627657e-12,99.9988588437898,99.99999542080549,-1.2212453270876722e-12,99.99999542080549,99.99999998151637,-1.1102230246251565e-12,99.99999998151637,99.99999999992865,-6.661338147750939e-13,99.99999999992865
11,0,0.7333333333333333,0.0,0.8,0.0,99.66132133357132,-1.7763568394002505e-12,99.66132133357132,99.99868397800137,-1.8318679906315083e-12,99.99868397800137,99.999994709886,-1.7208456881689926e-12,99.999994709886,99.99999997864391,-1.9428902930940243e-12,99.99999997864391,99.99999999991726,-2.4424906541753444e-12,99.99999999991726
11,1,0.8,0.0,0.8,0.06666666666666668,99.66132133357121,-1.9984014443252814e-12,99.66132133357121,99.99868397800131,-1.8318679906315083e-12,99.99868397800131,99.99999470988571,-1.9428902930940243e-12,99.99999470988571,99.99999997864343,-2.3869795029440866e-12,99.99999997864343,99.99999999991704,-2.886579864025407e-12,99.99999999991704
11,2,0.8,0.06666666666666668,0.7333333333333333,0.06666666666666668,99.66132133357095,-1.7763568394002505e-12,99.66132133357095,99.99868397800115,-1.8318679906315083e-12,99.99868397800115,99.99999470988548,-1.7208456881689926e-12,99.99999470988548,99.99999997864306,-1.9428902930940243e-12,99.99999997864306,99.9999999999166,-2.4424906541753444e-12,99.9999999999166
11,3,0.7333333333333333,0.06666666666666668,0.7333333333333333,0.0,99.66132133357121,-1.4432899320127037e-12,99.66132133357121,99.99868397800131,-1.6098233857064768e-12,99.99868397800131,99.99999470988571,-1.3322676295501874e-12,99.99999470988571,99.99999997864343,-1.4988010832439611e-12,99.99999997864343,99.99999999991704,-2.0539125955565396e-12,99.99999999991704
12,0,0.8,0.0,0.8666666666666667,0.0,99.62592630522494,-2.275957200481571e-12,99.62592630522494,99.99852410610892,-2.05391259555654e-12,99.99852410610892,99.99999405722154,-2.220446049250313e-12,99.99999405722154,99.99999997600418,-2.4424906541753444e-12,99.99999997600418,99.99999999990739,-2.886579864025407e-12,99.99999999990739
12,1,0.8666666666666667,0.0,0.8666666666666667,0.06666666666666668,99.625926305225,-2.4424906541753444e-12,99.625926305225,99.99852410610904,-2.164934898019056e-12,99.99852410610904,99.99999405722158,-2.220446049250313e-12,99.99999405722158,99.9999999760045,-2.3314683517128287e-12,99.9999999760045,99.9999999999076,-2.831068712794149e-12,99.9999999999076
